0,370625 | [TestNr=62; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,01];
0,375625 | [TestNr=63; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,02];
0,3725 | [TestNr=64; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,03];
0,4215625 | [TestNr=65; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,04];
0,433125 | [TestNr=66; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,05];
0,495625 | [TestNr=67; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,06];
0,545625 | [TestNr=68; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,1];
0,4671875 | [TestNr=69; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,2];
0,404375 | [TestNr=70; FreqBandWidth=7; ValueThreshold=0,025; MaxSquaredError=0,3];
0,4265625 | [TestNr=71; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=1E-05];
0,4265625 | [TestNr=72; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,0001];
0,4265625 | [TestNr=73; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,001];
0,4340625 | [TestNr=74; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,003];
0,44 | [TestNr=75; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,006];
0,4653125 | [TestNr=76; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,01];
0,394375 | [TestNr=77; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,02];
0,3296875 | [TestNr=78; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,03];
0,368125 | [TestNr=79; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,04];
0,4234375 | [TestNr=80; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,05];
0,4778125 | [TestNr=81; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,06];
0,4709375 | [TestNr=82; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,1];
0,3715625 | [TestNr=83; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,2];
0,4059375 | [TestNr=84; FreqBandWidth=7; ValueThreshold=0,06; MaxSquaredError=0,3];
0,4265625 | [TestNr=85; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=1E-05];
0,4265625 | [TestNr=86; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,0001];
0,4265625 | [TestNr=87; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,001];
0,4265625 | [TestNr=88; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,003];
0,459375 | [TestNr=89; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,006];
0,4834375 | [TestNr=90; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,01];
0,4475 | [TestNr=91; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,02];
0,4028125 | [TestNr=92; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,03];
0,393125 | [TestNr=93; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,04];
0,3828125 | [TestNr=94; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,05];
0,4509375 | [TestNr=95; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,06];
0,5040625 | [TestNr=96; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,1];
0,41625 | [TestNr=97; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,2];
0,4415625 | [TestNr=98; FreqBandWidth=7; ValueThreshold=0,1; MaxSquaredError=0,3];
0,4265625 | [TestNr=99; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=1E-05];
0,4265625 | [TestNr=100; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,0001];
0,4265625 | [TestNr=101; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,001];
0,4265625 | [TestNr=102; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,003];
0,4265625 | [TestNr=103; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,006];
0,4384375 | [TestNr=104; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,01];
0,41875 | [TestNr=105; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,02];
0,3978125 | [TestNr=106; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,03];
0,3490625 | [TestNr=107; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,04];
0,371875 | [TestNr=108; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,05];
0,4078125 | [TestNr=109; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,06];
0,3940625 | [TestNr=110; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,1];
0,40375 | [TestNr=111; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,2];
0,455 | [TestNr=112; FreqBandWidth=7; ValueThreshold=0,15; MaxSquaredError=0,3];
0,4265625 | [TestNr=113; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=1E-05];
0,4265625 | [TestNr=114; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,0001];
0,4265625 | [TestNr=115; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,001];
0,4265625 | [TestNr=116; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,003];
0,4265625 | [TestNr=117; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,006];
